Date,Open,High,Low,Close,Adj Close,Volume
2015-10-27,93.769997,95.209999,93.269997,94.730003,94.730003,2528200
2015-10-28,94.959999,96.559998,94.230003,96.540001,96.540001,2402400
2015-10-29,96.290001,96.919998,94.750000,96.360001,96.360001,2332200
2015-10-30,96.449997,96.500000,94.959999,95.080002,95.080002,2315700
2015-11-02,95.239998,95.970001,93.650002,95.699997,95.699997,1842400
2015-11-03,95.589996,96.489998,95.180000,96.400002,96.400002,2036100
2015-11-04,96.360001,96.589996,94.809998,95.300003,95.300003,2265000
2015-11-05,96.070000,96.660004,94.379997,96.029999,96.029999,2096800
2015-11-06,95.500000,97.540001,95.500000,96.010002,96.010002,1706700
2015-11-09,null,null,null,null,null,null
2015-11-10,93.320000,95.580002,92.730003,95.480003,95.480003,2093700
2015-11-11,95.440002,95.839996,92.529999,93.570000,93.570000,2931000
2015-11-12,93.180000,94.160004,92.279999,92.360001,92.360001,3065800
2015-11-13,90.889999,91.000000,86.080002,87.430000,87.430000,7257300
2015-11-16,87.410004,90.070000,86.419998,90.000000,90.000000,3573300
2015-11-17,87.489998,88.000000,84.190002,84.989998,84.989998,10443700
2015-11-18,85.239998,87.339996,84.650002,87.300003,87.300003,4230600
2015-11-19,87.750000,89.650002,87.500000,89.250000,89.250000,3894700
2015-11-20,90.489998,92.989998,90.489998,92.010002,92.010002,5281000
2015-11-23,92.010002,93.019997,91.940002,92.160004,92.160004,3436600
2015-11-24,91.300003,92.919998,91.150002,92.080002,92.080002,2049900
2015-11-25,92.000000,92.589996,91.750000,92.099998,92.099998,1547400
2015-11-27,92.519997,92.709999,89.320000,89.680000,89.680000,1820900
2015-11-30,87.580002,87.650002,85.779999,86.220001,86.220001,4866400
2015-12-01,86.790001,87.690002,86.110001,87.180000,87.180000,2761100
2015-12-02,87.000000,88.559998,86.410004,86.919998,86.919998,2491400
2015-12-03,87.010002,87.500000,83.110001,84.150002,84.150002,3478100
2015-12-04,84.500000,87.470001,84.000000,87.309998,87.309998,3859200
2015-12-07,87.000000,87.440002,85.779999,86.580002,86.580002,2206700
2015-12-08,86.029999,87.989998,85.709999,87.230003,87.230003,2950900
2015-12-09,86.480003,88.269997,85.320000,86.309998,86.309998,2446700
2015-12-10,86.260002,86.760002,85.480003,85.669998,85.669998,1731600
2015-12-11,84.860001,84.919998,82.120003,82.559998,82.559998,4119500
2015-12-14,null,null,null,null,null,null
2015-12-15,83.830002,83.839996,81.370003,81.519997,81.519997,3157000
2015-12-16,81.900002,83.199997,81.029999,83.110001,83.110001,3283200
2015-12-17,83.620003,83.800003,81.230003,81.269997,81.269997,2515700
2015-12-18,81.699997,82.720001,80.839996,80.870003,80.870003,3532400
2015-12-21,81.309998,82.000000,80.410004,80.970001,80.970001,1769400
